id,phrase,ragil,is_verified,source,corpus_role,display_access,claim_subtype,confidence,rule_or_reason
3979744a-8b33-41f0-9216-143d3c4c5c2b,"״פני הדור כפני הכלב בימינו""",690,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
263ae285-4834-4a8f-a25b-22c6d4a0030d,∆ גימטריה,277,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
63275789-3ed8-446a-8b72-3124c7d5cbd1,∆ יבא שילה,358,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
875aef95-4fc1-41c1-b06a-6834488e4c1c,אאא העא אגו יהו יעב מוב,240,False,excel_import,unknown,human_review,source_claim,low,"Cryptic letter-sequence ('אאא העא אגו יהו יעב מוב') with no notes; cannot determine whether this is an acronym, cipher output, or transcription error."
57938c46-c333-4986-8b25-9bfcef260999,אברהם אבינו ר ועוד ∆ ישרפוך,1551,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
ad21bac6-17fd-4538-978d-cdbea70f5da5,אברהם שרה יצחק רבקה יעקב לאה רחל,1724,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
f2cb0e0c-b92f-409e-9a9d-e791c3c490b6,אומות העולם יחרימו את ישראל,1820,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
498db543-2a23-410d-b08d-4bbd7ff9e532,אור אין סוף / נחשון,414,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
d4a0519b-69bf-448e-b114-4fed16774bc7,אור גנוז יבקע מהר הזיתים,1172,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
3806ad11-4832-47da-815d-00308f904477,אחד אחד אחד אחד אפס סופי תיבות,1167,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
14ad885c-48df-4207-93c4-6abe5fc86e87,אחת אחת אפס אפס ר ישרפוך,1916,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
07f3f6ab-dc74-45dd-9de5-443e992c6cb3,אימתי (רגיל ו ∆ ),710,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
f8fd2226-4eb3-41b4-97b0-763698c5223e,"אין סוף, אין קץ, אין תכלית, אין מספר",1820,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
4ebc8ce3-7665-47d1-afd8-2d8efab33109,אין עוד מלבדו אפס זולתו,813,False,excel_import,thematic_corpus,public_expanded,biblical_text,high,"Recognizable biblical/liturgical quotation, not a personal or third-party claim. Deuteronomy 4:35 / Aleinu 'אין עוד מלבדו' — biblical/liturgical quotation."
23036604-a1a6-47ee-a327-5e11f7c7bba7,אכרית את זרעו מילוי ללא,1472,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
bcb8d6b0-3b03-4aae-919f-fc382dd72e33,אלדולה אלאסלאמיה פי אלעראק ואלשאם,1124,False,excel_import,thematic_corpus,internal_only,research_phrase,medium,"Names a terror organization (ISIS, in Arabic) for gematria calculation — standard practice of computing the value of an adversary's name (cf. Haman/Amalek), not an accusation against an individual; kept out of public tiers as a precaution given the subject matter."
ab459b50-0e41-4354-bb7d-44ab5cba2be5,אלהי אברהם אלהי יצחק אלהי יעקב,776,False,excel_import,thematic_corpus,public_expanded,biblical_text,high,"Recognizable biblical/liturgical quotation, not a personal or third-party claim. Amidah prayer opening ('God of Abraham, Isaac, Jacob') — liturgical quotation."
1a921dc3-064b-4a80-a894-b7363e900884,אליהו אליעד מרדכי נעים,611,False,excel_import,thematic_corpus,public_expanded,research_vocabulary,medium,"Bare personal name, no claim attached; likely a contemporary teacher/lecturer's name used for gematria only."
5f75184d-68eb-46ff-a243-be386463bc5d,אליהו הנביא עשרה בטבת (מילוי),3580,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
9b297574-310e-4658-8327-5ba8ea62e1f3,"אליהו התשבי יתגלה את ב""ש",1920,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
5cd562d1-d252-4985-99e7-5b59a265824e,אלפיים ושבע עשרה - מקדש,1568,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
c3e281af-0d7c-4abb-8319-6bd2423f5f90,אמחה את זכר עמלק לעולם אות שלישית,2555,False,excel_import,thematic_corpus,public_expanded,biblical_text,high,"Recognizable biblical/liturgical quotation, not a personal or third-party claim. Paraphrase of Exodus 17:14 'מחה אמחה את זכר עמלק' — God's own words, reused verbatim as a common thematic formula across this corpus, not the researcher's personal claim."
1c031dfd-c21c-4d98-90c2-6f6d1b64b295,אש בהרי ירושלים אליהו הנביא,1234,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
1f61eac6-a070-4968-a6e2-bd22141bdf3a,אשרי המאמין בגאולת בני ישראל ב,1704,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
bd0e118f-d91f-42fa-8eb7-bd9eee95a56a,ב בן ד דו דוי דויד,112,False,excel_import,numeric_word_construct,public_expanded,research_phrase,high,"Notarikon / progressive-letter-buildup technique (e.g. צ-צמ-צמח...) — a standard gematria construction method, not an interpretive claim."
81744676-1ab0-4a04-9dcc-f03e172ebd15,בא סוד יהוה ∆,99,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
8e581eb0-69be-45e5-9a81-63a009b697ed,ביאת אליהו באלפים חמש עשרה,1551,False,excel_import,thematic_corpus,premium_candidate,research_phrase,medium,"Full-sentence messianic/redemption-themed research phrase (classical trope: Messiah/Davidic line/Temple/redemption timing); presented as an unverified researcher hypothesis, not a documented fact, so kept at research tier rather than public-default."
